text,label
Earn money from home with zero investment. WhatsApp now!,1
Congratulations! You are selected. Pay registration fee to proceed.,1
Work 2 hours daily and earn ₹5000 per day. Limited slots!,1
Click this link to claim your job offer immediately.,1
Urgent hiring! No interview required. Send documents now.,1
Transfer ₹2000 to activate your job ID.,1
Data entry job. No skills required. Pay joining fees.,1
You have won a job offer lottery. Contact HR fast.,1
Online typing job. Earn daily. Payment before training.,1
Part-time job for students. Registration mandatory.,1
Software engineer required with Python and Flask experience.,0
We are hiring interns for our web development team.,0
Apply for the backend developer role via our official website.,0
Job opening: Data Analyst at ABC Technologies.,0
Campus placement drive scheduled for final year students.,0
Company is looking for a full stack developer.,0
Walk-in interview for Java developers tomorrow.,0
Apply through LinkedIn for ML Engineer position.,0
Internship opportunity with stipend and certificate.,0
HR will contact shortlisted candidates after interview.,0
